id;created_at;updated_at;creator_user_id;name;player_count;format;status;group_count;top_per_group;use_wildcard;wildcard_count;share_id;is_public;requires_registration;requires_skill_level;min_skill_level;max_skill_level;skill_rating_system;auto_approve_registrations;registration_message;courts;start_time;is_doubles;default_sets;parent_tournament_id
95fe148d-c264-42b8-bf92-dd309c302728;2026-02-01 08:15:52.991617+00;2026-02-16 03:00:09.641376+00;5d3284cb-fe10-46b1-bc9a-16b3b3fd228d;Tất niên Hồng Hà;15;round_robin;completed;3;2;false;0;41bb4f3fce7f;true;false;false;;;DUPR;false;;[];;true;1;
d82e2f90-fe9c-44ff-a198-73a745c1804e;2026-02-01 14:53:14.324066+00;2026-02-16 03:00:09.641376+00;cb184b82-1d3c-4f2f-adf3-3f8301afec18;Alpha cup;32;round_robin;completed;8;2;false;0;f35a68950ded;true;false;false;;;DUPR;false;;[];;true;1;
87f3bc03-139e-418b-9ce4-52c86e42a5c3;2026-02-01 14:55:08.044798+00;2026-02-16 03:00:09.641376+00;cb184b82-1d3c-4f2f-adf3-3f8301afec18;Alpha cup;16;round_robin;completed;4;2;false;0;22200a8c1b7f;true;false;false;;;DUPR;false;;"[""1"",""2"",""3""]";;true;1;
328b9f00-e536-4c17-9275-4b2cda896901;2026-02-02 15:41:14.229818+00;2026-02-17 03:00:02.704093+00;12d8e9a1-69a4-4e10-a7a5-0a7a28513cb9;Mixed and Smatch Pickleball Tournament 2026;16;round_robin;completed;4;2;false;0;682c3e91458b;true;true;false;;;DUPR;false;;[];;true;1;
921b8e02-7a12-4580-bcc0-a63cfa321fc3;2026-02-04 07:56:26.539217+00;2026-02-19 03:00:04.251103+00;f9f9afee-9ad5-4c57-88be-caeeb9d67e91;giải tuấn phong;24;round_robin;completed;4;2;false;0;e300281ea5f6;true;false;false;;;DUPR;false;;[];;true;1;
0ab141c6-0e27-4f13-aaa6-b5f792ef3691;2026-03-01 11:34:45.018529+00;2026-03-17 03:00:03.73946+00;a55b4497-4532-49c1-b324-cbe50080eea8;Hùng Nguyễn Arena-1;9;round_robin;completed;2;2;false;0;ca82aa47ea24;true;false;false;;;DUPR;false;;[];;true;1;
6440c958-4fd8-4dd2-a787-e1f02bc592a5;2026-02-13 09:23:54.948427+00;2026-02-28 03:00:09.765825+00;adfa4ba2-3b30-4086-b10f-ae3ea9791c03;Tên giải đấu;16;round_robin;completed;4;2;false;0;464e1413e012;true;false;false;;;DUPR;false;;[];;true;1;
699719ce-e0f2-4fcf-994a-f14e884c9eb5;2026-01-23 02:41:39.800505+00;2026-01-23 02:51:25.376684+00;5d3284cb-fe10-46b1-bc9a-16b3b3fd228d;final test;8;round_robin;completed;2;2;false;0;49cc890ba95d;true;false;false;;;DUPR;false;;"[""3"",""4"",""5"",""6""]";09:47;true;1;
5b987194-4e93-463b-8bc4-602f5cb13283;2026-03-03 03:34:28.622905+00;2026-03-04 11:30:03.499266+00;5040f0f2-f564-401c-9737-4b030b6371d7;Hitachi - BIDV Pickleball Challenge;16;round_robin;completed;4;2;false;0;64bd6b100866;true;false;false;;;DUPR;false;;"[""1"",""2"",""3"",""4""]";14:00;true;1;
1993676f-43b3-4937-a51e-1c532314c2b6;2026-03-27 09:14:48.712809+00;2026-03-28 04:56:35.336282+00;5040f0f2-f564-401c-9737-4b030b6371d7;BITC 28/03/2026 CUP;15;round_robin;completed;3;2;false;0;71908795adeb;true;false;false;;;DUPR;false;;[];;true;1;
3f45d9a4-da54-40ba-a584-e1ef7bb0106e;2026-03-23 09:21:02.84197+00;2026-04-07 03:00:02.099013+00;98362517-3953-49fd-a064-417a6e2d6481;1;48;round_robin;completed;8;2;false;0;640c277db008;true;true;true;;;DUPR;false;;[];;true;1;
9a9e9e7c-ac6b-4870-9d74-2e3c60540026;2026-04-03 09:36:08.699129+00;2026-04-07 13:34:21.253723+00;5040f0f2-f564-401c-9737-4b030b6371d7;TPP đôi nam nữ 17-35;14;round_robin;completed;4;2;false;0;3b2920a13414;true;false;false;;;DUPR;false;;"[""1"",""5"",""6"",""7""]";13:00;true;1;
776e2cd3-f93c-4994-8890-d213609e3a52;2026-04-03 08:51:24.905536+00;2026-04-07 13:34:43.638323+00;5040f0f2-f564-401c-9737-4b030b6371d7;TPP đôi nữ;17;round_robin;completed;4;2;false;0;84f51e704dce;true;false;false;;;DUPR;false;;"[""1"",""2"",""3"",""4""]";08:15;true;1;
8189d405-eb39-4c45-90ff-347b97398739;2026-03-21 13:10:58.090972+00;2026-04-05 03:00:02.637488+00;b63a536e-aa01-4ce3-b9f8-43f5b26e02f0;Pick vui vẻ 03/2026;8;round_robin;completed;2;2;false;0;45578c03165e;true;false;false;;;DUPR;false;;"[""2""]";15:30;true;1;
23ab5de0-815f-41f6-8a29-545207e9dd3f;2026-04-07 13:55:14.478883+00;2026-04-07 13:57:56.26777+00;a458e3b8-0da7-4791-a750-63b52827f9ee;Giải đấu Hội Tụ season4;24;round_robin;group_stage;4;2;false;0;83b8e1eced90;true;false;false;;;DUPR;false;;[];;true;1;
863acd0d-1e23-4d11-8b82-368fe0f9dea7;2025-12-26 06:33:57.263957+00;2026-02-09 02:02:50.038714+00;0504a8a8-bd77-4e4c-b2f7-52d568c0843c;Tên Giải 42 VDVgiải đấu;42;round_robin;completed;8;2;false;0;318479af65fe;true;false;false;;;DUPR;false;;[];;true;1;
eadd4767-636e-4f33-8d6f-7632bd97dd2b;2025-12-27 01:25:58.565377+00;2026-02-09 02:02:50.038714+00;5040f0f2-f564-401c-9737-4b030b6371d7;Bidv;16;round_robin;completed;4;2;false;0;6b43d842b658;true;false;false;;;DUPR;false;;[];;true;1;
c195a946-7558-4676-85a5-fb353472d770;2025-12-26 14:49:03.378355+00;2026-02-09 02:02:50.038714+00;587f0873-15d5-46c5-9a98-2b2f28fa70cb;Mõm giải đấu;8;round_robin;completed;2;2;false;0;0648a314d49f;true;false;false;;;DUPR;false;;[];;true;1;
9023a09e-e68c-4dc1-bfa3-2df68382a1e7;2025-12-28 11:03:44.961472+00;2026-02-09 02:02:50.038714+00;2ea45d3f-e0bf-470c-8f45-9c0c4242d684;Tết 16;8;round_robin;completed;2;2;false;0;8bd65123479f;true;false;false;;;DUPR;false;;[];;true;1;
a753439a-886b-4952-8fc8-311692142c00;2025-12-28 13:36:56.949605+00;2026-02-09 02:02:50.038714+00;2ea45d3f-e0bf-470c-8f45-9c0c4242d684;Tên giải đấu 19;19;round_robin;completed;4;2;false;0;7ffec1595a61;true;false;false;;;DUPR;false;;[];;true;1;
9e47105b-489f-40db-8189-c5150e707383;2025-12-30 00:45:24.412751+00;2026-02-09 02:02:50.038714+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;Test 20;20;round_robin;completed;6;2;false;0;b29e22a51ef0;true;false;false;;;DUPR;false;;"[""4"",""5"",""6"",""7""]";08:00;true;1;
b59c5e79-12e0-4e21-9548-ebd5df0f8162;2025-12-30 00:55:08.070025+00;2026-02-09 02:02:50.038714+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;Tên giải đấu 4;16;round_robin;completed;4;2;false;0;6822c8f90514;true;false;false;;;DUPR;false;;"[""4"",""5"",""6""]";10:00;true;1;
8d12e2dc-c9ea-4bc1-8024-fff46614a533;2026-01-05 03:05:55.652533+00;2026-02-09 02:02:50.038714+00;f9bfa1bd-54b9-4ff7-b700-25e4e240e115;Tên giải đấu 8;17;round_robin;completed;3;2;false;0;13b81bffa8bb;true;false;false;;;DUPR;false;;[];;true;1;
770856f5-b1cc-4adf-9350-a4b732ea1e17;2026-01-08 05:16:15.925848+00;2026-02-09 02:02:50.038714+00;a6d505d2-4c4e-4a6a-9cee-b0e53884557e;Giải pickleball BICVN & MSCVN lần thứ nhất;10;round_robin;completed;2;2;false;0;40db71fcecfb;true;true;true;;;DUPR;true;;[];;true;1;
c074cd41-da2b-43fc-89d7-1b9b86771565;2025-12-30 11:54:06.026053+00;2026-02-09 02:02:50.038714+00;78ac01e0-0fd1-4b84-89e6-4cfc318f312d;Tên giải đấu test;12;round_robin;completed;3;2;false;0;c8db4cb58fc3;true;false;false;;;DUPR;false;;"[""2"",""3"",""7""]";;true;1;
