id;user_id;target_type;target_id;created_at
f4838e0f-aa16-41d4-ab92-2b6fd916d3c3;5040f0f2-f564-401c-9737-4b030b6371d7;organization;a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11;2025-12-22 09:12:01.896056+00
8aeb473d-2f91-4cdf-838b-10b4bd93540f;12930035-7f31-4623-8ec2-a1833703b714;organization;41fb095c-eb98-4241-a471-f047c87158fc;2026-02-15 03:42:21.899724+00
e22b24d9-d872-4a31-a5c6-a118b5caf0f1;88851ff9-4082-45ea-8a92-7f81694a1d2e;organization;41fb095c-eb98-4241-a471-f047c87158fc;2026-02-15 16:15:02.568808+00
3bed9e52-24fd-41ce-895d-60c453ff18b5;481ca5d3-71cc-42d6-809d-a4be432dfd6c;organization;41fb095c-eb98-4241-a471-f047c87158fc;2026-02-19 19:39:45.094388+00
5bd1c17b-b352-4841-b84f-49f1783a5d15;2ae96b48-6d3a-4f83-9828-95d1310e89ce;organization;41fb095c-eb98-4241-a471-f047c87158fc;2026-03-15 15:01:20.151839+00
b183ddd4-ba1c-4740-b6d9-4c1c7e228edc;95c01427-e123-454f-9fae-26e953e4a671;organization;41fb095c-eb98-4241-a471-f047c87158fc;2026-03-15 16:39:55.040642+00
