id;table_id;name;display_order;created_at
68adac57-9724-4a5e-8fef-d1fcdcbff739;776e2cd3-f93c-4994-8890-d213609e3a52;B;1;2026-04-03 08:56:29.19646+00
5b1b7af9-ffd2-48d0-9dcc-5fccd1eb7c49;776e2cd3-f93c-4994-8890-d213609e3a52;C;2;2026-04-03 08:56:29.19646+00
e609e0b7-fc82-463d-b2ed-9bd3d7485b57;776e2cd3-f93c-4994-8890-d213609e3a52;D;3;2026-04-03 08:56:29.19646+00
5236833a-d4a0-4e79-9abf-69bc3f2a6093;73f98d29-82b7-4eee-8f9b-d34dc5535ec9;A;0;2025-12-24 01:13:34.172649+00
9faab9a7-f1fa-4248-a662-137a07366675;73f98d29-82b7-4eee-8f9b-d34dc5535ec9;B;1;2025-12-24 01:13:34.172649+00
fb15bcdc-fbcc-447e-b3a6-83384520c74d;73f98d29-82b7-4eee-8f9b-d34dc5535ec9;C;2;2025-12-24 01:13:34.172649+00
d5451933-89f3-43fb-a7c9-350f176b2bf8;73f98d29-82b7-4eee-8f9b-d34dc5535ec9;D;3;2025-12-24 01:13:34.172649+00
008925d0-0427-4d33-a9db-cfbed2ee1561;73f98d29-82b7-4eee-8f9b-d34dc5535ec9;E;4;2025-12-24 01:13:34.172649+00
9f506042-5610-48b8-a284-70e72ed2e06c;73f98d29-82b7-4eee-8f9b-d34dc5535ec9;F;5;2025-12-24 01:13:34.172649+00
31a06e0d-8300-426b-9ee1-9c2f29f8770f;9a9e9e7c-ac6b-4870-9d74-2e3c60540026;A;0;2026-04-03 09:40:59.204869+00
65bac1e1-6654-416b-82a7-2b7e94c81877;9a9e9e7c-ac6b-4870-9d74-2e3c60540026;B;1;2026-04-03 09:40:59.204869+00
eb47dd4c-a53e-4ddc-97ba-79739d29c1b1;9a9e9e7c-ac6b-4870-9d74-2e3c60540026;C;2;2026-04-03 09:40:59.204869+00
5e8137be-8499-435d-a9e9-93e91affa640;9a9e9e7c-ac6b-4870-9d74-2e3c60540026;D;3;2026-04-03 09:40:59.204869+00
60c26d76-f084-4719-b0c6-3d2a27da87bc;23ab5de0-815f-41f6-8a29-545207e9dd3f;A;0;2026-04-07 13:57:43.360186+00
9e724ce8-a586-4d12-94f1-6bdee4ea2887;23ab5de0-815f-41f6-8a29-545207e9dd3f;B;1;2026-04-07 13:57:43.360186+00
