id;captain_user_id;team_name;created_at;updated_at
fb124240-e2a8-45ed-b2b2-8309b2a74092;c7db8332-4f3a-4f1f-a8c6-474baccd5b51;c1;2026-01-08 14:29:32.412487+00;2026-01-08 14:29:32.412487+00
324ca07f-a7a1-40ea-a1c3-502fa682ccf2;2d776516-214d-4f20-975f-207cd0ba53e9;C2;2026-01-08 14:40:21.143014+00;2026-01-08 14:40:21.143014+00
28226381-11f7-45d5-8d4d-697346607a28;25edff60-3251-4ab3-b73f-4f9da12c5f6d;c3;2026-01-08 14:42:03.632605+00;2026-01-08 14:42:03.632605+00
f85189e0-396e-42ce-9f94-99f59d7bef21;487a27dd-fe9d-4894-863d-90682b4a657d;C4;2026-01-08 14:44:17.482426+00;2026-01-08 14:44:17.482426+00
851e20f9-2d5c-4f46-b20d-7bc474693e28;f9bfa1bd-54b9-4ff7-b700-25e4e240e115;C5;2026-01-08 14:46:01.501305+00;2026-01-08 14:46:01.501305+00
e6963650-bcde-4f99-9594-61927bc769fc;cbf3fbf0-3cae-4e6e-8601-990379e84bd3;C6;2026-01-08 14:48:19.843864+00;2026-01-08 14:48:19.843864+00
b2ce5bb5-da04-4dc5-8c24-78aa18684fc7;cbf3fbf0-3cae-4e6e-8601-990379e84bd3;C6;2026-01-08 14:48:20.99329+00;2026-01-08 14:48:20.99329+00
575751de-1f0d-4a0e-a593-088a7d546723;d1dd51be-4af2-46f3-8cc8-aa9db0ebaa2d;C7;2026-01-08 14:50:06.010852+00;2026-01-08 14:50:06.010852+00
481b7bd1-8b2f-413b-b3fc-f6bd6a6bdc7e;00419b09-c9ce-4a0e-8f0b-c9209cda3faa;C8;2026-01-08 14:51:34.951076+00;2026-01-08 14:51:34.951076+00
1891738e-701c-4546-ac7d-86f73be564d7;8155983a-f78c-4d3f-a759-04e0e42a44d5;Xuân;2026-01-22 05:45:57.233418+00;2026-01-22 05:45:57.233418+00
b7e1c694-cbe5-44a8-b1ba-17ab61a7318d;8155983a-f78c-4d3f-a759-04e0e42a44d5;Hạ;2026-01-22 05:46:33.772828+00;2026-01-22 05:46:33.772828+00
ec6e7d2f-602f-49b5-a59d-899705d079a0;8155983a-f78c-4d3f-a759-04e0e42a44d5;Thu;2026-01-22 05:46:45.833658+00;2026-01-22 05:46:45.833658+00
d63a09f3-0957-4e24-8e8b-7e92f9c5c432;8155983a-f78c-4d3f-a759-04e0e42a44d5;Đông;2026-01-22 05:46:57.465478+00;2026-01-22 05:46:57.465478+00
bde31f97-9700-4da8-9f95-861638f4f6c1;8155983a-f78c-4d3f-a759-04e0e42a44d5;Xuân;2026-01-22 05:52:43.078823+00;2026-01-22 05:52:43.078823+00
24878e2e-ca45-4591-ab08-bf68c07aeb84;8155983a-f78c-4d3f-a759-04e0e42a44d5;CƠ;2026-01-22 09:07:41.278739+00;2026-01-22 09:07:41.278739+00
6969fd5a-12ae-4665-9ae8-721411a490d9;8155983a-f78c-4d3f-a759-04e0e42a44d5;Rô;2026-01-22 09:08:25.970071+00;2026-01-22 09:08:25.970071+00
13766496-588a-4619-b4dc-d516487ed97b;8155983a-f78c-4d3f-a759-04e0e42a44d5;Chuồng;2026-01-22 09:08:45.624214+00;2026-01-22 09:08:45.624214+00
486068fe-62b9-4b2a-8f37-e7a2d1772b21;8155983a-f78c-4d3f-a759-04e0e42a44d5;Bích;2026-01-22 09:09:01.1812+00;2026-01-22 09:09:01.1812+00
5ffb50e8-059c-4843-94bd-8e6dd8480f00;8155983a-f78c-4d3f-a759-04e0e42a44d5;Chuồn;2026-01-22 09:11:40.064088+00;2026-01-22 09:11:40.064088+00
1d5e1b1f-b182-450b-8482-e21608b26a01;67ffd83d-56c8-4464-82d0-a4d05f2f0352;Xuân;2026-01-23 03:27:48.200051+00;2026-01-23 03:27:48.200051+00
0e2573bb-cb61-4487-88d9-f868a73439ab;e7e82933-760d-454e-b2a3-3a4c2a06f965;Aaa;2026-01-31 09:27:04.574586+00;2026-01-31 09:27:04.574586+00
5f958625-e94f-4af3-8f11-1160cfdbc2e5;d9e70b77-498d-4a34-bd96-d21bda351a62;Team Bảo Trâm;2026-02-02 07:23:50.881081+00;2026-02-02 07:23:50.881081+00
7bb38594-01ec-44e4-95ed-5d62514d97a5;5040f0f2-f564-401c-9737-4b030b6371d7;Team 3;2026-02-04 03:14:10.480369+00;2026-02-04 03:14:10.480369+00
06981ad1-3262-4717-8346-b85642cbdefa;5c173be9-6172-4f5b-a77d-5b4464f35b03;Team 4;2026-02-04 04:40:51.76099+00;2026-02-04 04:40:51.76099+00
56c6c179-e073-4e34-a510-966ef58bf950;effa922d-fb3c-4486-a658-e64872a6f43e;Team 1;2026-02-04 07:15:31.44177+00;2026-02-04 07:15:31.44177+00
8a6bc36c-91df-4ce0-b65c-ed61f1b28c87;0fe0eb4b-7b12-4724-ba12-afcbc04ef3ac;Team 4;2026-02-04 07:16:15.01936+00;2026-02-04 07:16:15.01936+00
9056dfec-9181-41ac-a300-8cfbb5f51028;efb5c7bd-3699-4a7a-b4d3-db4b51bb412b;Team 2 ;2026-02-04 07:22:52.590636+00;2026-02-04 07:22:52.590636+00
131b5ad2-b6f0-4d79-9851-53eabc86cc5b;04736f08-9999-4f7b-bf7d-7f03a6083b0f;Một;2026-02-05 10:22:30.093085+00;2026-02-05 10:22:30.093085+00
b88ba239-a7ca-471a-b567-413c0fa22238;b63a536e-aa01-4ce3-b9f8-43f5b26e02f0;BCS;2026-03-19 02:21:26.219782+00;2026-03-19 02:21:26.219782+00
a909c007-5d38-4693-9432-572da28f03bc;b63a536e-aa01-4ce3-b9f8-43f5b26e02f0;Đội 1;2026-03-19 02:27:47.329219+00;2026-03-19 02:27:47.329219+00
d2827f21-d1c9-424c-adc4-c060dfd9ae0e;f9f9afee-9ad5-4c57-88be-caeeb9d67e91;tùng - phúc;2026-03-27 07:27:49.901391+00;2026-03-27 07:27:49.901391+00
