id;user_id;type;entity_type;entity_id;related_id;title;message;is_read;created_at
d0819434-af5f-4474-a05c-0d54c48cc6b3;88851ff9-4082-45ea-8a92-7f81694a1d2e;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;afc2506b-e81f-417d-9425-e3d46694d1d9;TAPickleball đã lên lịch livestream mới;Ben Johns, Waters | Quarterfinals | PPATour Texas Open 2026;false;2026-03-13 11:38:28.468556+00
68a46b43-81a2-48fa-b9f5-87a3425b9642;481ca5d3-71cc-42d6-809d-a4be432dfd6c;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;afc2506b-e81f-417d-9425-e3d46694d1d9;TAPickleball đã lên lịch livestream mới;Ben Johns, Waters | Quarterfinals | PPATour Texas Open 2026;false;2026-03-13 11:38:28.468556+00
151cf21f-d3d6-41f9-84e3-f62943809568;12930035-7f31-4623-8ec2-a1833703b714;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;afc2506b-e81f-417d-9425-e3d46694d1d9;TAPickleball đang phát trực tiếp!;Ben Johns, Waters | Quarterfinals | PPATour Texas Open 2026;false;2026-03-13 15:07:52.67747+00
9d406ac2-4b42-414a-969a-ec7f763b2771;88851ff9-4082-45ea-8a92-7f81694a1d2e;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;afc2506b-e81f-417d-9425-e3d46694d1d9;TAPickleball đang phát trực tiếp!;Ben Johns, Waters | Quarterfinals | PPATour Texas Open 2026;false;2026-03-13 15:07:52.67747+00
5a1734a2-55b3-4dee-bfdb-cbd5d5cc1d82;481ca5d3-71cc-42d6-809d-a4be432dfd6c;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;afc2506b-e81f-417d-9425-e3d46694d1d9;TAPickleball đang phát trực tiếp!;Ben Johns, Waters | Quarterfinals | PPATour Texas Open 2026;false;2026-03-13 15:07:52.67747+00
c2a9a010-e970-4622-a84f-1fb8f63acadd;12930035-7f31-4623-8ec2-a1833703b714;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;afc2506b-e81f-417d-9425-e3d46694d1d9;TAPickleball đang phát trực tiếp!;Ben Johns, Waters | Quarterfinals | PPATour Texas Open 2026;false;2026-03-13 15:11:43.69776+00
de0c0da8-c338-4424-b4c6-45a709f8cf76;88851ff9-4082-45ea-8a92-7f81694a1d2e;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;afc2506b-e81f-417d-9425-e3d46694d1d9;TAPickleball đang phát trực tiếp!;Ben Johns, Waters | Quarterfinals | PPATour Texas Open 2026;false;2026-03-13 15:11:43.69776+00
0e0d4964-47d9-468a-a3b6-2a03369240be;481ca5d3-71cc-42d6-809d-a4be432dfd6c;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;afc2506b-e81f-417d-9425-e3d46694d1d9;TAPickleball đang phát trực tiếp!;Ben Johns, Waters | Quarterfinals | PPATour Texas Open 2026;false;2026-03-13 15:11:43.69776+00
bedf3e0d-5017-4153-8a78-02f0e34a9273;12930035-7f31-4623-8ec2-a1833703b714;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;57fe3b87-5d35-4aca-a17c-e4a24d866386;TAPickleball đã lên lịch livestream mới;PPA Tour Texas Open 2026 Semifinals LIVE | Ben Johns | Anna Leigh Waters | Pro Pickleball;false;2026-03-14 03:35:50.951284+00
f2232baf-7529-4014-8221-be5bb5c2bc23;88851ff9-4082-45ea-8a92-7f81694a1d2e;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;57fe3b87-5d35-4aca-a17c-e4a24d866386;TAPickleball đã lên lịch livestream mới;PPA Tour Texas Open 2026 Semifinals LIVE | Ben Johns | Anna Leigh Waters | Pro Pickleball;false;2026-03-14 03:35:50.951284+00
0ff0f3dc-9874-4e47-ae86-7f4c8648b311;481ca5d3-71cc-42d6-809d-a4be432dfd6c;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;57fe3b87-5d35-4aca-a17c-e4a24d866386;TAPickleball đã lên lịch livestream mới;PPA Tour Texas Open 2026 Semifinals LIVE | Ben Johns | Anna Leigh Waters | Pro Pickleball;false;2026-03-14 03:35:50.951284+00
b06d926d-619a-4f16-817d-47dcda36fc36;12930035-7f31-4623-8ec2-a1833703b714;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;57fe3b87-5d35-4aca-a17c-e4a24d866386;TAPickleball đang phát trực tiếp!;Semifinals LIVE | Ben Johns | Anna Leigh Waters | Pro Pickleball | PPA Tour Texas Open 2026;false;2026-03-14 13:38:00.122392+00
e23da649-ca5a-43a0-97f8-41b6902e2c9f;88851ff9-4082-45ea-8a92-7f81694a1d2e;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;57fe3b87-5d35-4aca-a17c-e4a24d866386;TAPickleball đang phát trực tiếp!;Semifinals LIVE | Ben Johns | Anna Leigh Waters | Pro Pickleball | PPA Tour Texas Open 2026;false;2026-03-14 13:38:00.122392+00
5f7bb25d-136f-4fd1-b00a-e0afc4c283f5;481ca5d3-71cc-42d6-809d-a4be432dfd6c;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;57fe3b87-5d35-4aca-a17c-e4a24d866386;TAPickleball đang phát trực tiếp!;Semifinals LIVE | Ben Johns | Anna Leigh Waters | Pro Pickleball | PPA Tour Texas Open 2026;false;2026-03-14 13:38:00.122392+00
510f27c1-28a0-4507-8ead-a7dc9be0e927;12930035-7f31-4623-8ec2-a1833703b714;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đã lên lịch livestream mới;Round 16;false;2026-03-26 16:10:57.942268+00
