id;user_id;target_type;target_id;content;created_at
e180fab6-d94c-480f-8dd3-c596aed0f183;af6086de-92e1-4662-b773-2a3d3b7c7845;livestream;2cac01eb-217a-4634-95fa-4f915773bce2;alson hay mặc áo đỏ nhỉ;2026-02-20 17:18:39.789381+00
4089ae70-b425-477b-ae53-092f42c13940;873248cd-d71b-4143-848d-e6ddf3d9829e;livestream;2cac01eb-217a-4634-95fa-4f915773bce2;Ko có starkrud giải này à b;2026-02-20 17:32:16.900022+00
d5c328bd-a2c4-4717-ab85-8caa7b4fcbf5;05ce6513-08d3-4396-a180-ebd4da79d29f;livestream;2cac01eb-217a-4634-95fa-4f915773bce2;tí live tiếp a nhé e thích patriquen;2026-02-20 18:23:45.396976+00
5d8eae1c-eba3-4adf-92a1-6d6286b57f1f;5224fca5-4bb3-48ec-953d-7838e2394f30;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Nay ko chat đc ta;2026-02-22 16:09:44.321651+00
ea6a854a-50fb-47df-b9aa-18077e008f45;e82185d9-8296-48df-a234-9a8ac99b3662;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Chưa đânh ck à ad;2026-02-22 16:43:49.972387+00
c819ae66-11fe-407f-b30c-09d31c00cea3;d9a7e9a1-5c20-49df-9bad-aa7c142b69f8;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Ck đơn nam bao giờ đó a;2026-02-22 16:59:17.923871+00
c18a3444-b7b6-482e-8ff1-06680b271cc3;f11f4da2-0121-490b-ba74-e3af844275b8;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Xem trên tv kiểu gì nhỉ ad;2026-02-22 17:28:48.460394+00
f8ce751c-bb0a-4200-8443-b54542355ce7;049dc420-d688-480e-8a80-b4dcd909a68f;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Mình cũng đánh RPM 14 elongate. Tuyệt. Đang thuần thêm Fury 15.5 hyper nhưng 2 dòng khác hẳn nhau.;2026-02-22 17:45:07.799921+00
c27842bc-1468-4fa3-bd92-95476f76469a;620f42b0-2219-443a-b9ee-dd791564f4fb;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Cleo bond tiktok b ạ;2026-02-22 17:50:00.004467+00
5b019a8f-5ccc-4b93-9452-0e4782c1042a;620f42b0-2219-443a-b9ee-dd791564f4fb;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Bạn search tiktok mới ra;2026-02-22 17:50:39.70137+00
