id;livestream_id;message_id;pinned_by;pinned_at
7f790512-57d0-4236-913f-a41295d26206;22459077-bf71-4f91-841c-799f0bdd1909;4cc28463-352c-4ad3-9f11-f1b56e8c680f;5d3284cb-fe10-46b1-bc9a-16b3b3fd228d;2026-02-19 14:16:37.567801+00
5ab696f9-e242-4932-b665-c4193f9bd1a6;2cac01eb-217a-4634-95fa-4f915773bce2;e40926a8-60ed-483f-8455-14b5e2653885;5d3284cb-fe10-46b1-bc9a-16b3b3fd228d;2026-02-20 19:19:45.477468+00
ce1fc354-6430-4b0f-99fd-6aa0e8436abf;1f5fcca2-c276-4ce7-bbca-fbfa471b77cc;59888800-7f64-464c-bbb7-e7d8716e73db;5d3284cb-fe10-46b1-bc9a-16b3b3fd228d;2026-02-21 19:02:20.51314+00
20db1361-2d4d-491d-8121-db6f06615d29;57fe3b87-5d35-4aca-a17c-e4a24d866386;b37156d2-cad8-4092-873c-2e5d3dc64ef3;5d3284cb-fe10-46b1-bc9a-16b3b3fd228d;2026-03-14 17:29:30.514998+00
